full_name,role,prize_year,prize_name,prize_genre,title_of_winning_book
Charles Yu,winner,2020,National Book Award,prose,Interior China Town
Don Mee Choi,winner,2020,National Book Award,poetry,DMZ Colony
Arthur Sze,winner,2019,National Book Award,poetry,Sight Lines
Susan Choi,winner,2019,National Book Award,prose,Trust Excercise
Justin Phillip Reed,winner,2018,National Book Award,poetry,Indecency
Sigrid Nunez,winner,2018,National Book Award,prose,The Friend
Frank Bidart,winner,2017,National Book Award,poetry,Half-Light: Collected Poems 1965-2016
Jesmyn Ward,winner,2017,National Book Award,prose,"Sing, Unburied, Sing"
Colson Whitehead,winner,2016,National Book Award,prose,The Underground Railroad
Daniel Borzutzky,winner,2016,National Book Award,poetry,The Performance Of Becoming Human
Adam Johnson,winner,2015,National Book Award,prose,Fortune Smiles
Robin Coste Lewis,winner,2015,National Book Award,poetry,Voyage Of The Sable Venus
Phil Klay,winner,2014,National Book Award,prose,Redeployment
Louise Gluck,winner,2014,National Book Award,poetry,Faithful And Virtuous Night
James McBride,winner,2013,National Book Award,prose,The Good Lord Bird
Mary Szybist,winner,2013,National Book Award,poetry,Incarnadine
David Ferry,winner,2012,National Book Award,poetry,Bewilderment: New Poems And Translations
Louise Erdrich,winner,2012,National Book Award,prose,The Round House
Jesmyn Ward,winner,2011,National Book Award,prose,Salvage The Bones
Nikky Finney,winner,2011,National Book Award,poetry,Head Off & Split: Poems